source_key,source_name,categoria,subcategoria,acceso,api_url,cchen_filter_strategy,comentario_excel_fernanda,implementation_status,priority_wave,recommended_frequency,freshness_sla_days,runtime_source_keys,requires_token,runner_command,gap_summary
patentsview_uspto,USPTO,Patentes,EE.UU.,Abierto,https://developer.uspto.gov/api-catalog,Aliases de solicitante/inventor CCHEN; requiere PATENTSVIEW_API_KEY.,"Registrada, pero requiere PATENTSVIEW_API_KEY para corrida exitosa; separar de INAPI local.",implementada_runtime,1_primera_ola,semestral,180,patentsview_uspto,True,python Scripts/fetch_patentsview_patents.py && python Database/migrate_patentsview.py,"Registrada con runner, pero ultima corrida fallo; validar credencial PATENTSVIEW_API_KEY."
radiofarmacia_cchen_seeded,PubChem,Bio/Farma,Química,Abierto,https://pubchem.ncbi.nlm.nih.gov/docs/pug-rest#section=The-URL-Path,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,"API gratuita candidata Bio/Farma. Requiere validacion tematica: activar si hay relacion con radiofarmacos, moleculas, proteinas o lineas CCHEN.",implementada_runtime,2_segunda_ola,trimestral,90,radiofarmacia_cchen_seeded,False,python Scripts/fetch_radiofarmacia_cchen_seeded.py --max-literature-per-seed 20 && python Scripts/curate_radiofarmacia_cchen.py && python Scripts/review_radiofarmacia_cchen.py,Sin brecha critica de implementacion; validar frescura y calidad.
string_db,STRING DB,Bio/Farma,Interacciones Moleculares,Abierto,https://string-db.org/help/api/,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,"API gratuita candidata Bio/Farma. Requiere validacion tematica: activar si hay relacion con radiofarmacos, moleculas, proteinas o lineas CCHEN.",segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
uniprot,UniProt,Bio/Farma,Proteómica,Abierto,https://www.uniprot.org/help/programmatic_access,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,"API gratuita candidata Bio/Farma. Requiere validacion tematica: activar si hay relacion con radiofarmacos, moleculas, proteinas o lineas CCHEN.",segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
base,BASE,Científica,Multidisciplinario,Abierto,https://api.base-search.net/,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita candidata. Implementar solo si el filtro CCHEN entrega resultados relevantes; revisar estado del probe CCHEN-only.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
core,CORE,Científica,Repositorios / Datos,Abierto,https://core.ac.uk/services/api,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita candidata. Implementar solo si el filtro CCHEN entrega resultados relevantes; revisar estado del probe CCHEN-only.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
doaj,DOAJ,Científica,Repositorios / Datos,Abierto,https://doaj.org/api/v4/docs,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita candidata. Implementar solo si el filtro CCHEN entrega resultados relevantes; revisar estado del probe CCHEN-only.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
figshare,Figshare,Científica,Repositorios / Datos,Abierto,https://docs.figshare.com/,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita candidata. Implementar solo si el filtro CCHEN entrega resultados relevantes; revisar estado del probe CCHEN-only.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
hal,HAL,Científica,Repositorios / Datos,Abierto,https://api.archives-ouvertes.fr/docs,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita candidata. Implementar solo si el filtro CCHEN entrega resultados relevantes; revisar estado del probe CCHEN-only.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
biorxiv,bioRxiv,Científica,Preprints,Abierto,https://api.biorxiv.org/,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita candidata. Implementar solo si el filtro CCHEN entrega resultados relevantes; revisar estado del probe CCHEN-only.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
medrxiv,medRxiv,Científica,Preprints,Abierto,https://api.medrxiv.org/,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita candidata. Implementar solo si el filtro CCHEN entrega resultados relevantes; revisar estado del probe CCHEN-only.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
epo_ops,EPO (OPS),Patentes,Europa,Abierto,https://developers.epo.org/,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita/candidata para patentes. Priorizar despues de resolver PatentsView e INAPI.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
espacenet,Espacenet,Patentes,Europa,Abierto,https://developers.epo.org/,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita/candidata para patentes. Priorizar despues de resolver PatentsView e INAPI.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
wipo_patentscope,WIPO Patentscope,Patentes,Global,Abierto,https://b2b.wipo.int/catalog/api/fe3d0eba-28e8-30ee-8fbe-045c4e0a6b29,Probe CCHEN-only por alias institucional; activar solo con resultados relevantes.,API gratuita/candidata para patentes. Priorizar despues de resolver PatentsView e INAPI.,segunda_ola_candidata,2_segunda_ola,semestral,180,,False,,Candidata de segunda ola; requiere validacion de relevancia CCHEN y diseno de extractor.
biogrid,BioGRID,Bio/Farma,Interacciones Moleculares,Abierto,https://wiki.thebiogrid.org/doku.php/biogrid_rest_api,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,semestral,180,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
disgenet,DisGeNET,Bio/Farma,Enfermedades Genéticas,Abierto,https://www.disgenet.org/api/,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,semestral,180,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
eric,ERIC,Científica,Educación,Abierto,https://eric.ed.gov/?api,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,trimestral,90,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
plos,PLOS,Científica,Multidisciplinario,Abierto,https://api.plos.org/text-and-data-mining.html,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,trimestral,90,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
repec,RePEc,Científica,Economía,Abierto,https://ideas.repec.org/api.html,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,trimestral,90,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
redalyc,Redalyc,Científica,América Latina / Iberoamérica,Abierto,https://www.redalyc.org/redalyc/acerca-de/open-data.html?id=oai,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,trimestral,90,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
faostat,FAOSTAT,Datos Abiertos,Comercio / Agricultura,Abierto,https://www.fao.org/faostat/en/#data/,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,semestral,180,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
ilostat,ILOSTAT,Datos Abiertos,Trabajo / Empleo,Abierto,https://ilostat.ilo.org/resources/ilostat-developer-tools/,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,semestral,180,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
imf_data,IMF Data,Datos Abiertos,Macroeconomía,Abierto,https://datahelp.imf.org/knowledgebase/articles/630877,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,semestral,180,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
un_comtrade,UN Comtrade,Datos Abiertos,Comercio / Agricultura,Abierto,https://comtradeplus.un.org/TradeFlow,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,semestral,180,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
global_forest_watch,Global Forest Watch,Desastres,Medio Ambiente,Abierto,https://www.globalforestwatch.org/help/developers/,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,semestral,180,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
oecd_oecd_data_explorer,"OECD, OECD Data Explorer",ODS / Desarrollo,Políticas Públicas,Abierto,https://www.oecd.org/en/data/insights/data-explainers/2024/09/api.html,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,semestral,180,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
world_bank,World Bank,ODS / Desarrollo,Desarrollo Global,Abierto,https://data360.worldbank.org/en/api,Filtro CCHEN por validar antes de implementar.,"API disponible, pero debe validarse capacidad de filtrar por CCHEN, afiliacion, autor, DOI, ORCID, ROR o aliases.",api_revisar_relevancia,3_revision,semestral,180,,False,,"API disponible, pero no priorizada; requiere evaluacion tematica."
dimensions,Dimensions,Científica,Multidisciplinario,Freemium; Pago,https://www.dimensions.ai/products/all-products/dimensions-api/,No se extrae en esta fase; documentada por pago/acceso/token.,"Fuente valiosa pero de pago o con acceso institucional. Documentar, no bloquear implementacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
drugbank,DrugBank,Científica,Biomedicina,Abierto,https://go.drugbank.com/clinical,No se extrae en esta fase; documentada por pago/acceso/token.,"Documentar como diferida por pago, token comercial, freemium o acceso restringido; no bloquea adjudicacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
ieee_xplore,IEEE Xplore,Científica,Ingeniería,Pago,https://developer.ieee.org/,No se extrae en esta fase; documentada por pago/acceso/token.,"Fuente valiosa pero de pago o con acceso institucional. Documentar, no bloquear implementacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
jstor,JSTOR,Científica,Multidisciplinario,Pago,https://labs.jstor.org/developers/,No se extrae en esta fase; documentada por pago/acceso/token.,"Fuente valiosa pero de pago o con acceso institucional. Documentar, no bloquear implementacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
mendeley_data,Mendeley Data,Científica,Repositorios / Datos,Abierto; Freemium,https://data.mendeley.com/api/docs/,No se extrae en esta fase; documentada por pago/acceso/token.,"Documentar como diferida por pago, token comercial, freemium o acceso restringido; no bloquea adjudicacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
nature_portfolio,Nature Portfolio,Científica,Multidisciplinario,Pago,https://dev.springernature.com/,No se extrae en esta fase; documentada por pago/acceso/token.,"Fuente valiosa pero de pago o con acceso institucional. Documentar, no bloquear implementacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
scopus,Scopus,Científica,Multidisciplinario,Pago,https://dev.elsevier.com/,No se extrae en esta fase; documentada por pago/acceso/token.,"Fuente valiosa pero de pago o con acceso institucional. Documentar, no bloquear implementacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
the_lens,The Lens,Científica,Metadatos,Abierto,https://www.lens.org/lens/user/subscriptions#subscriptions-landing,No se extrae en esta fase; documentada por pago/acceso/token.,"Documentar como diferida por pago, token comercial, freemium o acceso restringido; no bloquea adjudicacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
web_of_science,Web of Science,Científica,Multidisciplinario,Pago,https://developer.clarivate.com/apis/wos-starter,No se extrae en esta fase; documentada por pago/acceso/token.,"Fuente valiosa pero de pago o con acceso institucional. Documentar, no bloquear implementacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
iqair_airvisual,IQAir / AirVisual,Desastres,Medio Ambiente,Freemium,https://api-docs.iqair.com/,No se extrae en esta fase; documentada por pago/acceso/token.,"Documentar como diferida por pago, token comercial, freemium o acceso restringido; no bloquea adjudicacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
openweathermap,OpenWeatherMap,Desastres,Clima / Satélites,Freemium,https://openweathermap.org/api,No se extrae en esta fase; documentada por pago/acceso/token.,"Documentar como diferida por pago, token comercial, freemium o acceso restringido; no bloquea adjudicacion.",diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
ahrefs,Ahrefs,Negocios,SEO / Web,Pago,https://docs.ahrefs.com/,No se extrae en esta fase; documentada por pago/acceso/token.,No prioritaria para CCHEN I+D en esta fase; freemium/pago y baja relevancia directa.,diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
g2,G2,Negocios,Software / Reseñas,Freemium,https://data.g2.com/api/docs,No se extrae en esta fase; documentada por pago/acceso/token.,No prioritaria para CCHEN I+D en esta fase; freemium/pago y baja relevancia directa.,diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
product_hunt,Product Hunt,Negocios,Software / Reseñas,Freemium,https://api.producthunt.com/v2/docs,No se extrae en esta fase; documentada por pago/acceso/token.,No prioritaria para CCHEN I+D en esta fase; freemium/pago y baja relevancia directa.,diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
semrush,SEMrush,Negocios,SEO / Web,Pago,https://developer.semrush.com/,No se extrae en esta fase; documentada por pago/acceso/token.,No prioritaria para CCHEN I+D en esta fase; freemium/pago y baja relevancia directa.,diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
google_patents,Google Patents,Patentes,Global,Abierto,https://serpapi.com/google-patents-api,No se extrae en esta fase; documentada por pago/acceso/token.,No tratar como gratuito institucional si depende de SerpAPI u otro servicio externo/pago. Diferida.,diferida_acceso_pago_token,diferida,por definir,,,True,,"Diferida por costo, token comercial, freemium o acceso restringido."
