source_key,source_name,categoria,implementation_status,tipo_implementacion,decision_operativa,tipo_datos_descargados,tipologia_datos,uso_observatorio,frecuencia_descarga,estado_fuente,priority_wave,recommended_frequency,last_run_status,record_count,comentario_excel_recomendado,brief_markdown,brief_latex
zenodo_outputs,Zenodo,Científica,implementada_runtime,Implementada directa/API,mantener,CSV de metadatos Zenodo y CSV de inventario de archivos; no descarga archivos binarios.,"Metadatos de datasets, presentaciones y archivos asociados","Inventariar metadatos de datasets, presentaciones y outputs CCHEN en Zenodo sin descargar archivos.",semestral,Implementada y usable con control de calidad/frescura.,1_primera_ola,semestral,success,68,"Implementada para extraccion CCHEN-only; Inventariar metadatos de datasets, presentaciones y outputs CCHEN en Zenodo sin descargar archivos; mantener frecuencia semestral.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_zenodo_outputs.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_zenodo_outputs.tex
patentsview_uspto,PatentsView / USPTO,Patentes,implementada_runtime,Bloqueada por token,bloqueada_por_token,Salida prevista para patentes USPTO CCHEN; actualmente sin registros por falta de API key.,"Patentes USPTO, solicitantes e inventores",Serviria para propiedad industrial internacional cuando exista API key; por ahora queda como brecha documentada.,semestral,"Registrada, pero bloqueada hasta configurar credencial/API key.",1_primera_ola,semestral,failed,0,"Implementada/registrada para CCHEN-only, pero bloqueada hasta configurar PATENTSVIEW_API_KEY; no reemplaza INAPI local.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_patentsview_uspto.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_patentsview_uspto.tex
radiofarmacia_cchen_seeded,PubChem,Bio/Farma,implementada_runtime,Implementada derivada/semilla,mantener_con_observacion,"CSVs de semillas, compuestos/radionuclidos, literatura, curaduria y revision operativa.","Radiofarmacos, radionuclidos, compuestos PubChem y literatura técnica",Sirve como evidencia temática o vigilancia exploratoria; no como indicador directo de la fuente original.,trimestral,Implementada como derivada/semilla; requiere nota metodologica al usarla.,2_segunda_ola,trimestral,success,875,"Implementada como fuente derivada/semilla CCHEN-only; Consolidar semillas de radiofarmacos, radionuclidos, PubChem y literatura abierta relevante; mantener como evidencia tecnica, no como conexion directa a la fuente original.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_radiofarmacia_cchen_seeded.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_radiofarmacia_cchen_seeded.tex
clinvar,ClinVar,Bio/Farma,implementada_runtime,Implementada derivada/semilla,mantener_con_observacion,No hay extractor directo ClinVar; la evidencia viene de PubMed/radiofarmacia como aproximacion temática.,Variantes clínicas relacionadas por flujos biomédicos derivados,Sirve como evidencia temática o vigilancia exploratoria; no como indicador directo de la fuente original.,semestral (otros outputs: trimestral),Implementada como derivada/semilla; requiere nota metodologica al usarla.,manual_no_api,semestral (otros outputs: trimestral),seeded_from_outputs; success,20; 875,"Implementada como fuente derivada/semilla CCHEN-only; Vigilancia tecnica en radiofarmacia, moleculas, radionuclidos y literatura biomédica relacionada con lineas CCHEN; mantener como evidencia tecnica, no como conexion directa a la fuente original.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_clinvar.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_clinvar.tex
openalex,OpenAlex,Científica,implementada_runtime,Implementada directa/API,mantener,"CSVs de works, authorships, conceptos, grants y tablas bibliométricas CCHEN.","Publicaciones, autores, conceptos, afiliaciones y citas","Base principal de publicaciones, autores, conceptos y relaciones bibliométricas CCHEN.",trimestral,Implementada y usable con control de calidad/frescura.,manual_no_api,trimestral,seeded_from_outputs,949; 21348; 877; 8499,"Implementada para extraccion CCHEN-only; Base principal de publicaciones, autores, conceptos y relaciones bibliométricas CCHEN; mantener frecuencia trimestral.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_openalex.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_openalex.tex
datos_gob_cl,Datos.gob.cl,Datos Abiertos,implementada_runtime,Implementada runtime/local,mantener,CSVs institucionales de convenios y acuerdos públicos asociados a CCHEN.,"Convenios, acuerdos e informacion institucional publica","Datos publicos nacionales vinculados a convenios, acuerdos e informacion institucional CCHEN.",semestral,Implementada y usable con control de calidad/frescura.,manual_no_api,semestral,seeded_from_outputs,84; 126,"Implementada para extraccion CCHEN-only; Datos publicos nacionales vinculados a convenios, acuerdos e informacion institucional CCHEN; mantener frecuencia semestral.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_datos_gob_cl.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_datos_gob_cl.tex
genbank,GenBank,Life Sciences,implementada_runtime,Implementada derivada/semilla,mantener_con_observacion,No hay extractor directo GenBank; la evidencia viene de PubMed/radiofarmacia como aproximacion temática.,Secuencias genéticas relacionadas por flujos biomédicos derivados,Sirve como evidencia temática o vigilancia exploratoria; no como indicador directo de la fuente original.,semestral (otros outputs: trimestral),Implementada como derivada/semilla; requiere nota metodologica al usarla.,manual_no_api,semestral (otros outputs: trimestral),seeded_from_outputs; success,20; 875,"Implementada como fuente derivada/semilla CCHEN-only; Aporta secuencias genéticas para completar vistas del observatorio; mantener como evidencia tecnica, no como conexion directa a la fuente original.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_genbank.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_genbank.tex
gene_expression_omnibus_geo,Gene Expression Omnibus (GEO),Life Sciences,implementada_runtime,Implementada derivada/semilla,mantener_con_observacion,No hay extractor directo GEO; la evidencia viene de PubMed/radiofarmacia como aproximacion temática.,Datos de expresion génica relacionados por flujos derivados,Sirve como evidencia temática o vigilancia exploratoria; no como indicador directo de la fuente original.,semestral (otros outputs: trimestral),Implementada como derivada/semilla; requiere nota metodologica al usarla.,manual_no_api,semestral (otros outputs: trimestral),seeded_from_outputs; success,20; 875,"Implementada como fuente derivada/semilla CCHEN-only; Aporta datos expresión génica para completar vistas del observatorio; mantener como evidencia tecnica, no como conexion directa a la fuente original.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_gene_expression_omnibus_geo.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_gene_expression_omnibus_geo.tex
nih,NIH,Life Sciences,implementada_runtime,Implementada derivada/semilla,mantener_con_observacion,No hay extractor directo NIH; la evidencia viene de PubMed/radiofarmacia como aproximacion temática.,Investigacion biomédica relacionada por flujos derivados,Sirve como evidencia temática o vigilancia exploratoria; no como indicador directo de la fuente original.,semestral (otros outputs: trimestral),Implementada como derivada/semilla; requiere nota metodologica al usarla.,manual_no_api,semestral (otros outputs: trimestral),seeded_from_outputs; success,20; 875,"Implementada como fuente derivada/semilla CCHEN-only; Aporta investigación biomédica para completar vistas del observatorio; mantener como evidencia tecnica, no como conexion directa a la fuente original.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_nih.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_nih.tex
sequence_read_archive,Sequence Read Archive,Life Sciences,implementada_runtime,Implementada derivada/semilla,mantener_con_observacion,No hay extractor directo SRA; la evidencia viene de PubMed/radiofarmacia como aproximacion temática.,Datos genómicos relacionados por flujos derivados,Sirve como evidencia temática o vigilancia exploratoria; no como indicador directo de la fuente original.,semestral (otros outputs: trimestral),Implementada como derivada/semilla; requiere nota metodologica al usarla.,manual_no_api,semestral (otros outputs: trimestral),seeded_from_outputs; success,20; 875,"Implementada como fuente derivada/semilla CCHEN-only; Aporta datos genómicos para completar vistas del observatorio; mantener como evidencia tecnica, no como conexion directa a la fuente original.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_sequence_read_archive.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_sequence_read_archive.tex
iaea_inis_monitor,IAEA (INIS),Nuclear,implementada_runtime,Implementada runtime/local,mantener,CSV de vigilancia INIS/IAEA con registros nucleares relevantes a CCHEN.,Registros de informacion nuclear y vigilancia técnica,Vigilancia especializada de INIS/IAEA para informacion nuclear relevante a CCHEN.,semanal,Implementada y usable con control de calidad/frescura.,manual_no_api,semanal,success,110,Implementada para extraccion CCHEN-only; Vigilancia especializada de INIS/IAEA para informacion nuclear relevante a CCHEN; mantener frecuencia semanal.,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_iaea_inis_monitor.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_iaea_inis_monitor.tex
news_monitor,Google Finance / News monitor (revisar match),Reportes financieros,implementada_runtime,Revisar match runtime,revisar_match,CSV de noticias CCHEN/nuclear; no corresponde a descarga financiera desde Google Finance.,Noticias y monitoreo de prensa CCHEN/nuclear; match financiero en revision,Solo serviria para vigilancia de noticias si se reclasifica; no usar como fuente financiera sin confirmacion.,semanal,Requiere confirmacion de correspondencia entre planilla y runtime.,manual_no_api,semanal,success,144,"Revisar match: la planilla indica Google Finance, pero el runtime implementado es News monitor para prensa CCHEN/nuclear; no tratar como fuente financiera sin confirmacion.",Docs/reports/fuentes_fernanda_implementadas/briefs/brief_news_monitor.md,Docs/reports/fuentes_fernanda_implementadas/briefs/brief_news_monitor.tex
